Horodateur,nationality,country,age_group,family_situation,household_income_in_€,travel_frequency,been_to_Japan,Japan_vac_duration,rating_interest_culture_and_history,rating_interest_food,rating_interest_nature_hiking,rating_interest_shopping_and_techno,rating_interest_events_and_festivals,rating_interest_wellness,rating_interest_theme_park,Japan_budget_per_week,Japan_prefered_accomodation,alternative_destination,alt_dest_main_reason,alt_dest_prefered_accomodation,alt_dest_budget_per_week,alt_dest_transportation,trip_prep,booking_trip_channel,most_influencial_reason_to_choose_dest,recomendation_to_improve_attractiveness,most_wanted_pref_to_visit_1,most_wanted_pref_to_visit_2,most_wanted_pref_to_visit_3,most_wanted_pref_to_visit_4,most_wanted_pref_to_visit_5,Japan_most_difficulties_1,Japan_most_difficulties_2,Japan_most_difficulties_3,Japan_most_difficulties_4,Japan_most_difficulties_5,alt_dest_most_difficulties_1,alt_dest_most_difficulties_2,alt_dest_most_difficulties_3,alt_dest_most_difficulties_4,alt_dest_most_difficulties_5
05/10/2025 13:09:39,France,France,35-44,Married_no_kids,1500-1999,Every 2–3 years,"Yes, several times",More than 4 weeks,Essential,Essential,Very important,Slightly important,Moderately important,Slightly important,Not important at all,500-1000,Airbnb / homestay,Thailand,Cost,Airbnb-style rental / apartment,500-1000,Taxi,Influencers,Direct,Cultural,Le Japon est parfait tel qu'il est,Kansai,Tohoku,Shikoku,,,Language,Crowded/Popularity,Translation,,,Language,Transportation,Car rental,,
06/10/2025 13:30:50,France,France,45-54,Relationship_with_kids,1500-1999,Every 2–3 years,"No, but I would like to go",2 weeks,Essential,Essential,Essential,Not important at all,Slightly important,Moderately important,Not important at all,500-1000,Airbnb / homestay,Asia,Cost,Standard hotel (3–4 stars),Less than 500,Public transportation,Books,Online agency,Cultural,"Déjà très attractif pour moi, juste une question de budget",,,,,,Language,Expensive,Translation,,,Expensive,Crowded,Translation,,
06/10/2025 17:20:05,France,France,35-44,Single,1500-1999,Once a year,"No, but I would like to go",3 weeks,Very important,Very important,Very important,Slightly important,Moderately important,Moderately important,Not important at all,Unknown,Ryokan (traditional Japanese inn),South Korea,Cost,Airbnb-style rental / apartment,500-1000,Public transportation,Websites,Platforms,Uniqueness,son prix,,,,,,Language,Car rental,Expensive,,,Language,Car rental,Expensive,,
06/10/2025 19:47:27,France,France,45-54,Single,2000-2499,Every 2–3 years,"No, but I would like to go",1 week,Moderately important,Essential,Essential,Moderately important,Moderately important,Moderately important,Slightly important,1000-1500,Standard hotel (3–4 stars),South Korea,None,Standard hotel (3–4 stars),1000-1500,Public transportation,Books,Online agency,Uniqueness,un guide chatgpt,,,,,,Car rental,Expensive,,,,Transportation,,,,
06/10/2025 20:56:00,France,France,45-54,Married_no_kids,2500-2999,Every 2–3 years,"No, but I would like to go",3 weeks,Very important,Very important,Very important,Not important at all,Not important at all,Very important,Not important at all,Unknown,Ryokan (traditional Japanese inn),Vietnam,Cost,Standard hotel (3–4 stars),500-1000,Public transportation,Websites,Online agency,Nature,Moins cher,Kansai,,,,,Language,Expensive,,,,Language,,,,
06/10/2025 22:41:51,France,Germany,45-54,Relationship_with_kids,7000 and more,Several times a year,"Yes, once",3 weeks,Very important,Very important,Very important,Moderately important,Slightly important,Slightly important,Slightly important,1500-2500,Ryokan (traditional Japanese inn),Europe,Cost,Airbnb-style rental / apartment,500-1000,Rental,Books,Direct,Family,une distance moindre,Kanto,Kansai,Chūgoku,,,Language,,,,,Expensive,Crowded,,,
07/10/2025 08:35:05,France,France,45-54,Relationship_with_kids,6000–6999,Once every 5 years or more,"No, but I would like to go",I don’t know yet / Not sure,Essential,Essential,Essential,Slightly important,Slightly important,Moderately important,Not important at all,Unknown,Ryokan (traditional Japanese inn),Asia,Social,Airbnb-style rental / apartment,1000-1500,Rental,Books,Platforms,Uniqueness,Rien de plus. C’est l’un des pays que nous souhaitons vivement visiter.,,,,,,Car rental,Expensive,Crowded/Popularity,,,Expensive,Crowded,,,
07/10/2025 11:54:42,France,France,25-34,Married_no_kids,5000–5999,Once a year,"No, but I would like to go",3 weeks,Essential,Essential,Essential,Not important at all,Slightly important,Moderately important,Not important at all,1000-1500,Ryokan (traditional Japanese inn),Asia,Cost,Standard hotel (3–4 stars),500-1000,Public transportation,Social,Direct,Cultural,Le prix,Kanto,Kansai,Okinawa,,,Expensive,Crowded/Popularity,Translation,,,Transportation,Expensive,,,
07/10/2025 13:34:11,France,France,45-54,Single,5000–5999,Once a year,"Yes, once",2 weeks,Essential,Very important,Moderately important,Essential,Slightly important,Not important at all,Not important at all,1000-1500,Standard hotel (3–4 stars),USA / Canada,Familiarity,Standard hotel (3–4 stars),1000-1500,Public transportation,Books,Online agency,Cultural,"Plus de personnes parlant anglais là bas, meme si les apps de traduction facilitent la vie.",Kanto,Kansai,,,,Language,Translation,,,,Expensive,Crowded,,,
07/10/2025 16:33:23,France,France,25-34,Single,1500-1999,Every 2–3 years,"No, but I would like to go",2 weeks,Very important,Essential,Very important,Essential,Very important,Very important,Moderately important,1500-2500,Standard hotel (3–4 stars),South Korea,Social,Standard hotel (3–4 stars),1500-2500,Public transportation,Books,Direct,Food,"s'il était plus facile de communiquer avec les gens sur place. Sans parler du tout japonais, j'ai l'impression que ça rend les choses plus difficiles",Kanto,Kansai,Hokkaido,Okinawa,Chūbu,Language,,,,,Language,,,,
08/10/2025 12:23:14,France,Spain,45-54,Relationship_with_kids,3000-3999,Once every 5 years or more,"No, but I would like to go",4 weeks,Essential,Very important,Essential,Not important at all,Very important,Slightly important,Not important at all,More than 2500,Airbnb / homestay,China,Nature,Airbnb-style rental / apartment,1500-2500,Public transportation,Websites,Online agency,Cultural,"Offres hébergement familial au prix accessible... (famille de 4) car vu la destination lointaine, il me paraît que 4 semaine serait un minimum pour le séjour ",,,,,,Language,Expensive,Crowded/Popularity,,,Expensive,,,,
08/10/2025 20:54:34,France,France,35-44,Relationship_with_kids,5000–5999,Never,"No, but I would like to go",2 weeks,Very important,Essential,Very important,Slightly important,Moderately important,Moderately important,Slightly important,1500-2500,Standard hotel (3–4 stars),Thailand,Cost,Standard hotel (3–4 stars),1000-1500,Rental,Agency,Store,Food,Tout est déjà très attractif,Kanto,Kansai,Chūbu,,,Crowded/Popularity,,,,,Crowded,,,,
12/10/2025 11:53:23,France,France,55-64,Married_no_kids,5000–5999,Every 2–3 years,"No, and I’m not interested",,,,,,,,,,,Thailand,Cost,Standard hotel (3–4 stars),500-1000,Public transportation,Books,Online agency,Nature,Des tarifs plus raisonnables ,,,,,,Expensive,,,,,Expensive,,,,
12/10/2025 13:25:34,France,France,25-34,Married_no_kids,2000-2499,Once every 5 years or more,"No, but I would like to go",2 weeks,Very important,Essential,Essential,Moderately important,Moderately important,Very important,Very important,Unknown,Ryokan (traditional Japanese inn),USA / Canada,Social,Airbnb-style rental / apartment,1000-1500,Public transportation,Blogs,Platforms,Cultural,Partir dans une période avec moins de monde ,Kanto,Kansai,Hokkaido,Okinawa,Tohoku,Expensive,Crowded/Popularity,,,,Language,Expensive,Crowded,,
13/10/2025 17:40:34,France,France,55-64,Relationship_no_kids,3000-3999,Never,"No, but I would like to go",I don’t know yet / Not sure,Very important,Moderately important,Essential,Slightly important,Moderately important,Very important,Slightly important,500-1000,Ryokan (traditional Japanese inn),Vietnam,Nature,Airbnb-style rental / apartment,500-1000,Public transportation,Social,Platforms,Nature,coût moins élevé du voyage,,,,,,Car rental,Crowded/Popularity,Disaster,,,Expensive,Crowded,,,
15/10/2025 09:05:48,Vietnam,France,18-24,Relationship_no_kids,1500-1999,Every 2–3 years,"No, but I would like to go",I don’t know yet / Not sure,Very important,Essential,Slightly important,Essential,Very important,Essential,Essential,1000-1500,Ryokan (traditional Japanese inn),South Korea,Familiarity,Luxury / high-end hotel (5 stars),1000-1500,Public transportation,Influencers,Online agency,Food,Gastronomie et culture,Kanto,Kansai,Hokkaido,Okinawa,Chūgoku,Language,Expensive,Translation,,,Transportation,Crowded,,,
15/10/2025 15:29:13,France,France,25-34,Single,2000-2499,Every 2–3 years,"No, and I’m not interested",,,,,,,,,,,USA / Canada,Nature,Airbnb-style rental / apartment,500-1000,Public transportation,Blogs,Online agency,Nature,Je ne sais pas,,,,,,Language,Expensive,,,,Crowded,,,,
15/10/2025 15:55:53,France,France,25-34,Relationship_no_kids,1500-1999,Every 2–3 years,"No, and I’m not interested",,,,,,,,,,,Amérique du Sud,Social,Airbnb-style rental / apartment,500-1000,Rental,Books,Online agency,Nature,Que ce soit une destination moins à la mode,,,,,,Expensive,Crowded/Popularity,Crowded/Popularity,,,Expensive,Crowded,,,
15/10/2025 16:49:17,France,France,45-54,Single,Unknown,Several times a year,"No, but I would like to go",2 weeks,Very important,Very important,Very important,Moderately important,Moderately important,Very important,Slightly important,500-1000,Standard hotel (3–4 stars),Europe,Convenience,Luxury / high-end hotel (5 stars),500-1000,Taxi,Websites,Online agency,Relaxing,Le prix ,,,,,,Language,,,,,Crowded,,,,
15/10/2025 20:20:14,France,Spain,25-34,Married_no_kids,4000–4999,Several times a year,"No, but I would like to go",3 weeks,Very important,Essential,Essential,Very important,Moderately important,Very important,Moderately important,500-1000,Ryokan (traditional Japanese inn),Afrique australe,Cultural,Standard hotel (3–4 stars),500-1000,Rental,Books,Online agency,Uniqueness,Coût du voyage moins élevé ,,,,,,Language,Expensive,Crowded/Popularity,,,Transportation,Crowded,,,
15/10/2025 21:44:13,China,France,25-34,Relationship_with_kids,3000-3999,Once a year,"No, but I would like to go",1 week,Moderately important,Essential,Essential,Moderately important,Moderately important,Not important at all,Slightly important,500-1000,Standard hotel (3–4 stars),Europe,Convenience,Airbnb-style rental / apartment,500-1000,Public transportation,Websites,Online agency,Nature,"la culture, la gastronomie, les paysages",Kansai,Hokkaido,Okinawa,,,Language,Expensive,,,,Language,Expensive,Crowded,,
15/10/2025 21:50:14,France,France,25-34,Single,2000-2499,Every 2–3 years,"No, but I would like to go",3 weeks,Essential,Essential,Essential,Essential,Essential,Essential,Not important at all,Less than 500,Standard hotel (3–4 stars),South Korea,Cultural,Airbnb-style rental / apartment,Less than 500,Public transportation,Influencers,Direct,Uniqueness,"Le côté animé, manga et cosplay du pays",Kanto,Kansai,Okinawa,,,Car rental,Crowded/Popularity,Translation,,,Transportation,Expensive,Crowded,,
15/10/2025 21:53:39,China,France,35-44,Married_with_kids,3000-3999,Several times a year,"No, but I would like to go",2 weeks,Moderately important,Moderately important,Moderately important,Slightly important,Slightly important,Slightly important,Not important at all,More than 2500,Standard hotel (3–4 stars),South Korea,Social,Standard hotel (3–4 stars),1000-1500,Public transportation,Influencers,Online agency,Cultural,"Culture, paysage ",Kanto,Kansai,,,,Expensive,,,,,Expensive,Translation,,,
15/10/2025 21:57:18,China,France,35-44,Married_with_kids,2000-2499,Once every 5 years or more,"No, but I would like to go",2 weeks,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,More than 2500,Standard hotel (3–4 stars),South Korea,Convenience,Standard hotel (3–4 stars),More than 2500,Rental,Agency,Direct,Family, Des prix plus abordables pour l’hébergement et les transports.,Kanto,Tohoku,,,,Language,Car rental,,,,Language,Car rental,Crowded,,
15/10/2025 22:14:29,China,France,35-44,Married_with_kids,7000 and more,Once a year,"No, and I’m not interested",,,,,,,,,,,South Korea,None,Luxury / high-end hotel (5 stars),1500-2500,Taxi,Blogs,Direct,Beaches,没有,,,,,,,,,,,None,,,,
15/10/2025 22:51:42,France,France,35-44,Married_with_kids,Unknown,Once a year,"No, but I would like to go",2 weeks,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Slightly important,Moderately important,1500-2500,Ryokan (traditional Japanese inn),China,Social,Standard hotel (3–4 stars),500-1000,Taxi,Social,Online agency,Food,Prix,Kanto,Kansai,Hokkaido,Okinawa,Shikoku,Translation,,,,,Language,,,,
16/10/2025 00:11:10,China,France,25-34,Unknown,1500 and less,Every 2–3 years,"No, but I would like to go",1 week,Very important,Very important,Very important,Very important,Very important,Very important,Slightly important,1000-1500,Ryokan (traditional Japanese inn),Asia,Cost,Standard hotel (3–4 stars),500-1000,Public transportation,Agency,Online agency,Cultural,Culture japonaise ,Hokkaido,Chūgoku,Shikoku,,,Language,Transportation,Crowded/Popularity,,,Language,Transportation,Expensive,,
16/10/2025 07:50:46,China,France,25-34,Single,1500-1999,Once a year,"No, and I’m not interested",,,,,,,,,,,China,Familiarity,Standard hotel (3–4 stars),500-1000,Public transportation,Social,Online agency,Family,Pour moi，pas tres attractif daller au Japon pour voyager,,,,,,Language,,,,,Language,,,,
16/10/2025 10:58:50,France,France,25-34,Relationship_no_kids,2500-2999,Never,"No, but I would like to go",I don’t know yet / Not sure,Very important,Very important,Very important,Slightly important,Very important,Very important,Not important at all,1000-1500,Airbnb / homestay,USA / Canada,Convenience,Airbnb-style rental / apartment,1000-1500,Public transportation,Websites,Platforms,Nature,Une plus grande ouverture vers la langue anglaise au niveau des services et commerces,Kansai,Okinawa,Chūbu,,,Transportation,Expensive,Crowded/Popularity,,,Expensive,Crowded,,,
16/10/2025 11:04:48,China,France,25-34,Single,1500-1999,Once a year,"No, but I would like to go",2 weeks,Very important,Very important,Moderately important,Moderately important,Essential,Essential,Very important,1500-2500,Standard hotel (3–4 stars),South Korea,Convenience,Standard hotel (3–4 stars),1000-1500,Rental,Influencers,Online agency,Nature,manga,Kanto,Kansai,,,,Language,Transportation,Car rental,,,Expensive,,,,
16/10/2025 13:50:03,France,France,25-34,Single,2500-2999,Every 2–3 years,"No, and I’m not interested",,,,,,,,,,,Europe,Cost,Standard hotel (3–4 stars),500-1000,Public transportation,Books,Online agency,Cultural,Des vols décarbonés,,,,,,Language,Expensive,Crowded/Popularity,,,Language,Crowded,,,
16/10/2025 18:39:36,Taiwan,France,35-44,Married_with_kids,1500 and less,Once a year,"No, but I would like to go",1 week,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,1500-2500,Luxury / high-end hotel (5 stars),Asia,Convenience,Airbnb-style rental / apartment,500-1000,Taxi,Influencers,Online agency,Nature,"La culture et la gastronomie japonaises m’attirent déjà beaucoup, mais des vols plus abordables rendraient le Japon encore plus attractif pour moi",Kanto,Kansai,Hokkaido,,,Language,Translation,,,,Language,Translation,,,
16/10/2025 18:42:24,France,France,25-34,Single,3000-3999,Several times a year,"No, but I would like to go",2 weeks,Very important,Very important,Essential,Moderately important,Moderately important,Very important,Moderately important,1000-1500,Standard hotel (3–4 stars),South Korea,Convenience,Standard hotel (3–4 stars),500-1000,Rental,Blogs,Direct,Uniqueness,Plus d'informations en anglais,Kanto,Kansai,,,,Language,Translation,,,,Car rental,Crowded,,,
16/10/2025 19:07:55,China,France,35-44,Married_with_kids,1500-1999,Once a year,"No, but I would like to go",1 week,Slightly important,Slightly important,Not important at all,Not important at all,Not important at all,Slightly important,Not important at all,Unknown,Standard hotel (3–4 stars),South Korea,Cost,Airbnb-style rental / apartment,1500-2500,Public transportation,Social,Store,Nature,Culture,Kansai,,,,,Language,Expensive,Crowded/Popularity,,,Language,Expensive,Crowded,,
16/10/2025 21:39:30,China,France,35-44,Married_with_kids,2500-2999,Every 2–3 years,"No, but I would like to go",2 weeks,Slightly important,Moderately important,Moderately important,Not important at all,Moderately important,Moderately important,Moderately important,Unknown,Standard hotel (3–4 stars),South Korea,Social,Standard hotel (3–4 stars),500-1000,Public transportation,Websites,Online agency,Beaches,La cuisine et les paysages.,,,,,,Language,,,,,Language,Crowded,,,
16/10/2025 22:29:23,Israel,France,25-34,Married_with_kids,7000 and more,Once a year,"Yes, once",3 weeks,Moderately important,Moderately important,Essential,Very important,Moderately important,Very important,Not important at all,More than 2500,Luxury / high-end hotel (5 stars),tout est possible,None,Luxury / high-end hotel (5 stars),More than 2500,Taxi,Agency,Online agency,Uniqueness,rien,Kanto,Kansai,Chūbu,,,Language,Crowded/Popularity,Translation,Crowded/Popularity,,Crowded,Translation,Crowded,,
16/10/2025 23:17:06,France,France,35-44,Single,1500-1999,Once a year,"No, but I would like to go",3 weeks,Essential,Essential,Essential,Slightly important,Moderately important,Moderately important,Not important at all,Less than 500,Ryokan (traditional Japanese inn),USA / Canada,Convenience,Airbnb-style rental / apartment,Less than 500,Public transportation,Websites,Online agency,Nature,Être plus informée ,,,,,,Language,Expensive,,,,Language,Car rental,Expensive,,
17/10/2025 16:00:03,France,France,18-24,Single,1500 and less,Once a year,"No, but I would like to go",4 weeks,Moderately important,Moderately important,Moderately important,Not important at all,Moderately important,Moderately important,Not important at all,500-1000,Capsule hotel,South Korea,Social,Standard hotel (3–4 stars),Less than 500,Public transportation,Blogs,Online agency,Uniqueness,Je sais pas ,,,,,,Language,,,,,Expensive,Crowded,,,
18/10/2025 09:50:05,France,France,25-34,Relationship_no_kids,5000–5999,Once a year,"Yes, once",2 weeks,Moderately important,Essential,Essential,Slightly important,Slightly important,Moderately important,Not important at all,500-1000,Standard hotel (3–4 stars),South Korea,Familiarity,Standard hotel (3–4 stars),500-1000,Public transportation,Blogs,Direct,Uniqueness,Vision des touristes et étrangers moins negative de la part des japonais,Kanto,Kansai,,,,Language,,,,,Language,Translation,,,
18/10/2025 19:23:36,France,France,45-54,Single,3000-3999,Never,"No, and I’m not interested",,,,,,,,,,,USA / Canada,Nature,Standard hotel (3–4 stars),500-1000,Rental,Websites,Store,Cultural,avec un guide qui parle français,,,,,,Language,Expensive,Crowded/Popularity,,,Language,Food,,,
24/10/2025 09:53:10,France,France,35-44,Married_with_kids,4000–4999,Once every 5 years or more,"No, but I would like to go",I don’t know yet / Not sure,Very important,Moderately important,Moderately important,Moderately important,Slightly important,Moderately important,Not important at all,Unknown,Airbnb / homestay,USA / Canada,None,Airbnb-style rental / apartment,500-1000,Rental,Social,Online agency,Relaxing,Je n'ai pas d'avis ne connaissant pas la destination réellement ,Kanto,,,,,Language,Expensive,Translation,,,Language,Expensive,,,
24/10/2025 11:06:13,France,France,35-44,Relationship_with_kids,Unknown,Several times a year,"Yes, several times",2 weeks,Moderately important,Essential,Essential,Slightly important,Moderately important,Essential,Essential,1000-1500,Standard hotel (3–4 stars),USA / Canada,Familiarity,Standard hotel (3–4 stars),500-1000,Public transportation,Blogs,Online agency,Cultural,vol moins chère,Kanto,Kansai,Chūbu,,,Language,Expensive,,,,Expensive,Crowded,,,
28/10/2025 12:10:10,France,France,18-24,Single,2500-2999,Every 2–3 years,"Yes, once",2 weeks,Essential,Essential,Moderately important,Slightly important,Not important at all,Slightly important,Not important at all,1500-2500,Hostel,Taiwan ,Social,Airbnb-style rental / apartment,500-1000,Public transportation,Books,Platforms,Uniqueness,"Probablement si c'était légèrement moins touristique, et vraiment le métro à Tokyo ma traumatisé de sa complexité (bon après ça va ça se fait)",Kanto,Kansai,,,,Transportation,,,,,Car rental,Expensive,,,
10/11/2025 08:38:33,France,Suisse,25-34,Relationship_no_kids,7000 and more,Several times a year,"No, but I would like to go",1 week,Moderately important,Moderately important,Moderately important,Slightly important,Not important at all,Slightly important,Not important at all,1500-2500,Standard hotel (3–4 stars),Asia,Convenience,Luxury / high-end hotel (5 stars),1000-1500,Public transportation,Social,Online agency,Family,Sur la to do list ,,,,,,Crowded/Popularity,,,,,Crowded,Translation,,,
11/11/2025 00:38:31,Slovène,France,35-44,Relationship_no_kids,5000–5999,Once a year,"Yes, once",I don’t know yet / Not sure,Very important,Essential,Very important,Essential,Very important,Very important,Slightly important,More than 2500,Luxury / high-end hotel (5 stars),USA / Canada,Familiarity,Luxury / high-end hotel (5 stars),1500-2500,Taxi,Websites,Online agency,Relaxing,Je ne sais pas,Kanto,Kansai,Hokkaido,Okinawa,,Crowded/Popularity,,,,,Crowded,,,,
11/11/2025 11:35:54,France,France,35-44,Married_no_kids,2500-2999,Every 2–3 years,"Yes, several times",4 weeks,Essential,Essential,Very important,Slightly important,Moderately important,Moderately important,Not important at all,500-1000,Airbnb / homestay,South Korea,Social,Airbnb-style rental / apartment,500-1000,Public transportation,Influencers,Direct,Uniqueness,Je ne sais pas,Kansai,Tohoku,Shikoku,,,Language,Crowded/Popularity,Translation,,,Language,Transportation,Expensive,,
11/11/2025 12:26:22,Japanese,Japan,25-34,Relationship_with_kids,4000–4999,Once a year,"Yes, several times",More than 4 weeks,Essential,Essential,Essential,Very important,Very important,Essential,Moderately important,Unknown,Luxury / high-end hotel (5 stars),USA / Canada,Familiarity,Luxury / high-end hotel (5 stars),1000-1500,Taxi,Websites,Direct,Cultural,Football,Kanto,Kansai,Hokkaido,Okinawa,Tohoku,Crowded/Popularity,,,,,Crowded,,,,
11/11/2025 18:47:43,Marocain,France,25-34,Single,1500-1999,Once a year,"No, but I would like to go",I don’t know yet / Not sure,Very important,Essential,Moderately important,Very important,Very important,Slightly important,Slightly important,Unknown,Airbnb / homestay,Thailand,Social,Hostel,Less than 500,Public transportation,Influencers,Store,Food,Je ne sais pas,Kanto,Kansai,Hokkaido,Okinawa,Chūgoku,Expensive,,,,,Expensive,None,,,
11/11/2025 21:17:16,France,France,65 and over,Married_with_kids,3000-3999,Several times a year,"No, but I would like to go",2 weeks,Essential,Essential,Very important,Slightly important,Very important,Essential,Not important at all,More than 2500,Luxury / high-end hotel (5 stars),Thailand,Social,Luxury / high-end hotel (5 stars),1500-2500,Taxi,Agency,Store,Food,on connait pas bien,,,,,,Language,Crowded/Popularity,Translation,,,Language,Crowded,,,
16/11/2025 20:26:26,France,France,65 and over,Relationship_with_kids,Unknown,Every 2–3 years,"No, but I would like to go",2 weeks,Very important,Moderately important,Very important,Moderately important,Moderately important,Very important,Not important at all,Unknown,Standard hotel (3–4 stars),South Korea,Social,Standard hotel (3–4 stars),1000-1500,Public transportation,Blogs,Online agency,Uniqueness,Plus d'informations en français sur place. ,Kanto,Kansai,Tohoku,,,Language,Expensive,,,,Language,Expensive,,,
05/10/2025 13:14:47,France,France,35-44,Married_no_kids,1500-1999,Every 2–3 years,"Yes, several times",More than 4 weeks,Essential,Essential,Very important,Slightly important,Moderately important,Moderately important,Not important at all,500-1000,Airbnb / homestay,Thailand,Cost,Airbnb-style rental / apartment,500-1000,Taxi,Influencers,Direct,Cultural,Japan is perfect the way it is,Kyushu,Tohoku,Shikoku,,,Language,Transportation,Crowded/Popularity,,,Language,Transportation,Translation,,
15/10/2025 22:18:01,China,France,35-44,Married_with_kids,3000-3999,Once every 5 years or more,"No, but I would like to go",2 weeks,Essential,Slightly important,Very important,Not important at all,Not important at all,Slightly important,Not important at all,Less than 500,Standard hotel (3–4 stars),China,Social,Standard hotel (3–4 stars),Less than 500,Public transportation,Websites,Direct,Nature,Culture and food ,Unknown,,,,,Expensive,,,,,Expensive,,,,
17/10/2025 19:26:39,Portugal,Portugal,18-24,Relationship_no_kids,Unknown,Every 2–3 years,"No, but I would like to go",2 weeks,Moderately important,Essential,Very important,Moderately important,Not important at all,Not important at all,Not important at all,More than 2500,Any,Thailand,Social,Hostel,Less than 500,Public transportation,Influencers,Online agency,Food,It's already perfect for me,Kanto,Kansai,Unknown,,,Expensive,,,,,Expensive,,,,
07/11/2025 23:28:49,France,USA,18-24,Unknown,5000–5999,Several times a year,"Yes, several times",4 weeks,Moderately important,Essential,Very important,Very important,Slightly important,Moderately important,Not important at all,More than 2500,Luxury / high-end hotel (5 stars),USA / Canada,Familiarity,Luxury / high-end hotel (5 stars),1500-2500,Public transportation,Books,Online agency,Relaxing,don't know,Kanto,Kansai,Unknown,,,Language,Crowded/Popularity,Translation,,,Crowded,,,,
